watched_tv,play_with_pets,code_written,had_coffee,happiness_value
No,Yes,40,Yes,5
Yes,No,325,No,4
No,Yes,1236,Yes,1
Yes,No,1070,No,6
No,Yes,1081,Yes,2
Yes,No,748,No,10
No,Yes,1161,Yes,4
Yes,No,675,No,9
No,Yes,642,Yes,2
Yes,No,1438,No,5
No,Yes,1042,Yes,6
Yes,No,1323,No,5
No,Yes,1410,Yes,10
Yes,No,375,No,3
No,Yes,624,Yes,8
Yes,No,360,No,2
No,Yes,300,Yes,5
Yes,No,1492,No,8
No,Yes,1373,Yes,2
Yes,No,522,No,0
No,Yes,1214,Yes,2
Yes,No,1388,No,5
No,Yes,754,Yes,1
Yes,No,1068,No,4
No,Yes,1206,Yes,4
Yes,No,1192,No,2
No,Yes,1226,Yes,2
Yes,No,1180,No,2
No,Yes,110,Yes,2
Yes,No,733,No,6
No,Yes,878,Yes,0
Yes,No,1404,No,1
No,Yes,779,Yes,4
Yes,No,993,No,9
No,Yes,923,Yes,7
Yes,No,292,No,4
No,Yes,941,Yes,9
Yes,No,493,No,10
No,Yes,519,Yes,4
Yes,No,323,No,7
No,Yes,163,Yes,2
Yes,No,652,No,6
No,Yes,243,Yes,9
Yes,No,166,No,8
No,Yes,246,Yes,5
Yes,No,1199,No,9
No,Yes,1211,Yes,7
Yes,No,1411,No,1
No,Yes,473,Yes,6
Yes,No,379,No,1
No,Yes,209,Yes,7
Yes,No,878,No,8
No,Yes,216,Yes,3
Yes,No,171,No,3
No,Yes,329,Yes,0
Yes,No,586,No,2
No,Yes,1074,Yes,10
Yes,No,1022,No,10
No,Yes,341,Yes,6
Yes,No,1097,No,3
No,Yes,527,Yes,6
Yes,No,420,No,5
No,Yes,180,Yes,8
Yes,No,1345,No,2
No,Yes,768,Yes,4
Yes,No,45,No,9
No,Yes,1027,Yes,10
Yes,No,1469,No,5
No,Yes,820,Yes,5
Yes,No,1321,No,3
No,Yes,411,Yes,6
Yes,No,180,No,1
No,Yes,309,Yes,5
Yes,No,85,No,2
No,Yes,337,Yes,1
Yes,No,111,No,1
No,Yes,1291,Yes,4
Yes,No,348,No,2
No,Yes,686,Yes,9
Yes,No,249,No,5
No,Yes,718,Yes,2
Yes,No,888,No,8
No,Yes,125,Yes,3
Yes,No,598,No,9
No,Yes,1138,Yes,7
Yes,No,488,No,5
No,Yes,1005,Yes,3
Yes,No,855,No,8
No,Yes,721,Yes,8
Yes,No,541,No,9
No,Yes,682,Yes,7
Yes,No,1403,No,4
No,Yes,247,Yes,10
Yes,No,430,No,7
No,Yes,35,Yes,4
Yes,No,1320,No,1
No,Yes,610,Yes,2
Yes,No,1116,No,6
No,Yes,967,Yes,2
Yes,No,522,No,10
No,Yes,772,Yes,4
Yes,No,24,No,8
No,Yes,893,Yes,8
Yes,No,1495,No,10
No,Yes,144,Yes,6
Yes,No,740,No,9
No,Yes,1459,Yes,10
Yes,No,36,No,6
No,Yes,831,Yes,1
Yes,No,1008,No,2
No,Yes,1202,Yes,8
Yes,No,1469,No,10
No,Yes,36,Yes,0
Yes,No,63,No,5
No,Yes,628,Yes,7
Yes,No,29,No,8
No,Yes,23,Yes,1
Yes,No,1189,No,3
No,Yes,639,Yes,7
Yes,No,1127,No,5
No,Yes,1351,Yes,5
Yes,No,348,No,7
No,Yes,1049,Yes,8
Yes,No,1152,No,0
No,Yes,1031,Yes,1
Yes,No,519,No,6
No,Yes,400,Yes,6
Yes,No,1354,No,2
No,Yes,631,Yes,0
Yes,No,1446,No,7
No,Yes,174,Yes,10
Yes,No,564,No,5
No,Yes,0,Yes,2
Yes,No,606,No,5
No,Yes,552,Yes,9
Yes,No,438,No,8
No,Yes,1454,Yes,8
Yes,No,291,No,0
No,Yes,1408,Yes,5
Yes,No,758,No,7
No,Yes,991,Yes,3
Yes,No,1457,No,0
No,Yes,611,Yes,4
Yes,No,286,No,0
No,Yes,1145,Yes,1
Yes,No,1331,No,10
No,Yes,529,Yes,10
Yes,No,996,No,7
No,Yes,1192,Yes,10
Yes,No,1189,No,5
No,Yes,947,Yes,5
Yes,No,151,No,9
No,Yes,591,Yes,10
Yes,No,266,No,6
No,Yes,221,Yes,7
Yes,No,838,No,7
No,Yes,1204,Yes,9
Yes,No,835,No,1
No,Yes,677,Yes,4
Yes,No,817,No,1
No,Yes,226,Yes,5
Yes,No,620,No,5
No,Yes,629,Yes,0
Yes,No,818,No,8
No,Yes,568,Yes,5
Yes,No,1297,No,8
No,Yes,224,Yes,1
Yes,No,88,No,4
No,Yes,1459,Yes,6
Yes,No,1170,No,6
No,Yes,1449,Yes,9
Yes,No,1318,No,4
No,Yes,477,Yes,8
Yes,No,365,No,6
No,Yes,403,Yes,1
Yes,No,95,No,1
No,Yes,352,Yes,4
Yes,No,1030,No,9
No,Yes,200,Yes,9
Yes,No,180,No,6
No,Yes,897,Yes,4
Yes,No,86,No,0
No,Yes,253,Yes,1
Yes,No,662,No,9
No,Yes,1126,Yes,6
Yes,No,765,No,1
No,Yes,671,Yes,3
Yes,No,972,No,4
No,Yes,1415,Yes,9
Yes,No,265,No,4
No,Yes,933,Yes,10
Yes,No,72,No,6
No,Yes,1217,Yes,0
Yes,No,1230,No,8
No,Yes,1182,Yes,6
Yes,No,786,No,2
No,Yes,1169,Yes,1
Yes,No,1217,No,8
No,Yes,1314,Yes,6
Yes,No,721,No,5
No,Yes,379,Yes,8
Yes,No,1456,No,3
No,Yes,340,Yes,7
Yes,No,1359,No,3
No,Yes,475,Yes,6
Yes,No,1122,No,4
No,Yes,634,Yes,1
Yes,No,979,No,6
No,Yes,279,Yes,10
Yes,No,1024,No,7
No,Yes,10,Yes,9
Yes,No,1315,No,3
No,Yes,1449,Yes,9
Yes,No,472,No,7
No,Yes,1437,Yes,3
Yes,No,1274,No,1
No,Yes,639,Yes,2
Yes,No,1166,No,6
No,Yes,1459,Yes,3
Yes,No,681,No,3
No,Yes,55,Yes,9
Yes,No,1280,No,8
No,Yes,384,Yes,0
Yes,No,954,No,1
No,Yes,753,Yes,8
Yes,No,554,No,3
No,Yes,880,Yes,0
Yes,No,181,No,5
No,Yes,895,Yes,5
Yes,No,163,No,6
No,Yes,103,Yes,0
Yes,No,1198,No,4
No,Yes,240,Yes,1
Yes,No,866,No,1
No,Yes,565,Yes,0
Yes,No,540,No,0
No,Yes,586,Yes,8
Yes,No,1207,No,9
No,Yes,317,Yes,7
Yes,No,847,No,1
No,Yes,11,Yes,4
Yes,No,15,No,7
No,Yes,1118,Yes,8
Yes,No,1390,No,1
No,Yes,1491,Yes,8
Yes,No,1191,No,0
No,Yes,163,Yes,9
Yes,No,445,No,2
No,Yes,1361,Yes,2
Yes,No,244,No,2
No,Yes,649,Yes,0
Yes,No,1273,No,6
No,Yes,1393,Yes,3
Yes,No,183,No,7
No,Yes,324,Yes,5
Yes,No,431,No,6
No,Yes,613,Yes,5
Yes,No,85,No,1
No,Yes,607,Yes,7
Yes,No,1308,No,7
No,Yes,1184,Yes,2
Yes,No,1357,No,10
No,Yes,12,Yes,10
Yes,No,795,No,0
No,Yes,204,Yes,5
Yes,No,412,No,6
No,Yes,1292,Yes,6
Yes,No,699,No,6
No,Yes,78,Yes,8
Yes,No,580,No,5
No,Yes,110,Yes,2
Yes,No,293,No,3
No,Yes,433,Yes,9
Yes,No,286,No,2
No,Yes,24,Yes,5
Yes,No,531,No,4
No,Yes,22,Yes,1
Yes,No,665,No,3
No,Yes,449,Yes,7
Yes,No,1064,No,7
No,Yes,705,Yes,8
Yes,No,151,No,3
No,Yes,975,Yes,8
Yes,No,732,No,3
No,Yes,355,Yes,2
Yes,No,85,No,3
No,Yes,494,Yes,3
Yes,No,874,No,8
No,Yes,93,Yes,6
Yes,No,277,No,0
No,Yes,997,Yes,10
Yes,No,953,No,3
No,Yes,996,Yes,1
Yes,No,1298,No,2
No,Yes,1410,Yes,6
Yes,No,751,No,4
No,Yes,1369,Yes,10
Yes,No,398,No,4
No,Yes,671,Yes,6
Yes,No,1053,No,7
No,Yes,1032,Yes,2
Yes,No,1207,No,1
No,Yes,940,Yes,7
Yes,No,281,No,8
No,Yes,466,Yes,7
Yes,No,708,No,9
No,Yes,278,Yes,4
Yes,No,278,No,3
No,Yes,1270,Yes,3
Yes,No,561,No,1
No,Yes,152,Yes,0
Yes,No,437,No,5
No,Yes,1446,Yes,0
Yes,No,606,No,2
No,Yes,645,Yes,7
Yes,No,1205,No,6
No,Yes,739,Yes,2
Yes,No,1085,No,5
No,Yes,283,Yes,9
Yes,No,736,No,6
No,Yes,931,Yes,1
Yes,No,152,No,0
No,Yes,1266,Yes,5
Yes,No,640,No,1
No,Yes,714,Yes,5
Yes,No,446,No,5
No,Yes,1008,Yes,7
Yes,No,1496,No,9
No,Yes,678,Yes,7
Yes,No,1098,No,0
No,Yes,5,Yes,7
Yes,No,741,No,4
No,Yes,69,Yes,4
Yes,No,153,No,6
No,Yes,385,Yes,7
Yes,No,1208,No,2
No,Yes,168,Yes,5
Yes,No,534,No,7
No,Yes,180,Yes,2
Yes,No,890,No,2
No,Yes,280,Yes,8
Yes,No,287,No,2
No,Yes,309,Yes,6
Yes,No,536,No,8
No,Yes,1413,Yes,4
Yes,No,149,No,7
No,Yes,656,Yes,6
Yes,No,722,No,6
No,Yes,1224,Yes,1
Yes,No,211,No,3
No,Yes,273,Yes,9
Yes,No,630,No,4
No,Yes,1449,Yes,9
Yes,No,1153,No,2
No,Yes,94,Yes,10
Yes,No,1422,No,0
No,Yes,1486,Yes,6
Yes,No,391,No,0
No,Yes,1105,Yes,2
Yes,No,1072,No,6
No,Yes,881,Yes,0
Yes,No,34,No,10
No,Yes,7,Yes,6
Yes,No,1141,No,5
No,Yes,864,Yes,3
Yes,No,947,No,0
No,Yes,288,Yes,10
Yes,No,1210,No,0
No,Yes,31,Yes,1
Yes,No,612,No,2
No,Yes,1237,Yes,7
Yes,No,1051,No,5
No,Yes,1399,Yes,8
Yes,No,1174,No,6
No,Yes,974,Yes,2
Yes,No,549,No,8
No,Yes,108,Yes,1
Yes,No,19,No,5
No,Yes,837,Yes,10
Yes,No,871,No,2
No,Yes,220,Yes,5
Yes,No,1262,No,0
No,Yes,703,Yes,5
Yes,No,1005,No,5
No,Yes,156,Yes,8
Yes,No,133,No,4
No,Yes,799,Yes,1
Yes,No,452,No,5
No,Yes,249,Yes,2
Yes,No,736,No,6
No,Yes,1113,Yes,6
Yes,No,347,No,1
No,Yes,785,Yes,4
Yes,No,977,No,1
No,Yes,1269,Yes,2
Yes,No,825,No,2
No,Yes,553,Yes,5
Yes,No,1239,No,4
No,Yes,1378,Yes,2
Yes,No,1009,No,2
No,Yes,1443,Yes,3
Yes,No,1336,No,4
No,Yes,838,Yes,9
Yes,No,1322,No,6
No,Yes,743,Yes,1
Yes,No,1227,No,10
No,Yes,1014,Yes,0
Yes,No,828,No,3
No,Yes,1333,Yes,6
Yes,No,472,No,8
No,Yes,1028,Yes,1
Yes,No,1221,No,0
No,Yes,1323,Yes,0
Yes,No,96,No,2
No,Yes,460,Yes,1
Yes,No,1089,No,7
No,Yes,257,Yes,2
Yes,No,365,No,1
No,Yes,354,Yes,8
Yes,No,635,No,10
No,Yes,265,Yes,5
Yes,No,755,No,2
No,Yes,845,Yes,4
Yes,No,1364,No,8
No,Yes,58,Yes,0
Yes,No,1496,No,4
No,Yes,1324,Yes,4
Yes,No,601,No,3
No,Yes,872,Yes,9
Yes,No,1385,No,5
No,Yes,835,Yes,5
Yes,No,1178,No,5
No,Yes,1464,Yes,0
Yes,No,439,No,4
No,Yes,553,Yes,3
Yes,No,1476,No,2
No,Yes,1083,Yes,8
Yes,No,259,No,5
No,Yes,879,Yes,6
Yes,No,515,No,10
No,Yes,677,Yes,7
Yes,No,1139,No,2
No,Yes,976,Yes,5
Yes,No,314,No,7
No,Yes,461,Yes,1
Yes,No,533,No,10
No,Yes,1480,Yes,7
Yes,No,534,No,8
No,Yes,256,Yes,1
Yes,No,638,No,8
No,Yes,751,Yes,7
Yes,No,202,No,1
No,Yes,250,Yes,3
Yes,No,698,No,1
No,Yes,1255,Yes,2
Yes,No,38,No,9
No,Yes,1331,Yes,0
Yes,No,299,No,6
No,Yes,1273,Yes,0
Yes,No,742,No,10
No,Yes,937,Yes,9
Yes,No,1116,No,10
No,Yes,206,Yes,9
Yes,No,447,No,10
No,Yes,1139,Yes,7
Yes,No,1282,No,8
No,Yes,381,Yes,0
Yes,No,1363,No,0
No,Yes,165,Yes,2
Yes,No,1023,No,3
No,Yes,416,Yes,4
Yes,No,997,No,7
No,Yes,667,Yes,2
Yes,No,171,No,0
No,Yes,751,Yes,4
Yes,No,229,No,2
No,Yes,397,Yes,10
Yes,No,324,No,9
No,Yes,884,Yes,0
Yes,No,760,No,0
No,Yes,771,Yes,10
Yes,No,232,No,5
No,Yes,1230,Yes,4
Yes,No,145,No,10
No,Yes,952,Yes,0
Yes,No,1322,No,10
No,Yes,1026,Yes,5
Yes,No,866,No,1
No,Yes,1137,Yes,4
Yes,No,1418,No,5
No,Yes,875,Yes,3
Yes,No,82,No,6
No,Yes,532,Yes,5
Yes,No,999,No,7
No,Yes,811,Yes,7
Yes,No,320,No,9
No,Yes,971,Yes,0
Yes,No,635,No,6
No,Yes,323,Yes,10
Yes,No,640,No,10
No,Yes,1241,Yes,0
Yes,No,955,No,1
No,Yes,115,Yes,2
Yes,No,1217,No,8
No,Yes,1455,Yes,2
Yes,No,1189,No,10
No,Yes,1257,Yes,3
Yes,No,952,No,2
No,Yes,1004,Yes,6
Yes,No,894,No,8
No,Yes,660,Yes,8
Yes,No,413,No,9
No,Yes,1131,Yes,6
Yes,No,89,No,2
No,Yes,1094,Yes,6
Yes,No,157,No,6
No,Yes,739,Yes,1
Yes,No,1413,No,8
No,Yes,262,Yes,10
Yes,No,1177,No,5
No,Yes,194,Yes,2
Yes,No,283,No,2
No,Yes,93,Yes,5
Yes,No,1353,No,8
No,Yes,1338,Yes,1
Yes,No,164,No,0
No,Yes,176,Yes,10
Yes,No,387,No,8
No,Yes,36,Yes,3
Yes,No,720,No,2
No,Yes,244,Yes,3
Yes,No,571,No,4
No,Yes,24,Yes,1
Yes,No,915,No,3
No,Yes,905,Yes,0
Yes,No,1200,No,5
No,Yes,191,Yes,5
Yes,No,1434,No,1
No,Yes,1089,Yes,9
Yes,No,1370,No,3
No,Yes,1159,Yes,7
Yes,No,699,No,3
No,Yes,296,Yes,7
Yes,No,861,No,1
No,Yes,87,Yes,2
Yes,No,991,No,0
No,Yes,956,Yes,3
Yes,No,826,No,8
No,Yes,945,Yes,8
Yes,No,359,No,5
No,Yes,560,Yes,9
Yes,No,1042,No,4
No,Yes,1060,Yes,0
Yes,No,114,No,2
No,Yes,1389,Yes,5
Yes,No,329,No,8
No,Yes,1256,Yes,3
Yes,No,920,No,4
No,Yes,648,Yes,10
Yes,No,1129,No,9
No,Yes,196,Yes,1
Yes,No,526,No,8
No,Yes,161,Yes,0
Yes,No,534,No,2
No,Yes,434,Yes,7
Yes,No,72,No,5
No,Yes,763,Yes,8
Yes,No,457,No,6
No,Yes,584,Yes,8
Yes,No,1435,No,5
No,Yes,1325,Yes,3
Yes,No,1048,No,0
No,Yes,64,Yes,9
Yes,No,69,No,1
No,Yes,882,Yes,5
Yes,No,571,No,7
No,Yes,1193,Yes,9
Yes,No,674,No,0
No,Yes,732,Yes,10
Yes,No,680,No,7
No,Yes,749,Yes,6
Yes,No,566,No,4
No,Yes,1182,Yes,3
Yes,No,590,No,8
No,Yes,867,Yes,3
Yes,No,282,No,7
No,Yes,118,Yes,3
Yes,No,1358,No,5
No,Yes,1391,Yes,0
Yes,No,731,No,4
No,Yes,1374,Yes,5
Yes,No,801,No,2
No,Yes,1117,Yes,9
Yes,No,1144,No,6
No,Yes,1474,Yes,4
Yes,No,1211,No,2
No,Yes,607,Yes,6
Yes,No,1423,No,1
No,Yes,953,Yes,10
Yes,No,436,No,1
No,Yes,1251,Yes,9
Yes,No,230,No,1
No,Yes,430,Yes,7
Yes,No,1475,No,2
No,Yes,897,Yes,6
Yes,No,2,No,2
No,Yes,1203,Yes,10
Yes,No,631,No,7
No,Yes,1406,Yes,3
Yes,No,223,No,9
No,Yes,312,Yes,5
Yes,No,918,No,7
No,Yes,1254,Yes,2
Yes,No,1039,No,8
No,Yes,643,Yes,3
Yes,No,1025,No,8
No,Yes,1250,Yes,8
Yes,No,192,No,5
No,Yes,368,Yes,9
Yes,No,1341,No,3
No,Yes,692,Yes,0
Yes,No,1154,No,2
No,Yes,1225,Yes,0
Yes,No,1319,No,8
No,Yes,637,Yes,4
Yes,No,872,No,3
No,Yes,278,Yes,6
Yes,No,226,No,9
No,Yes,1199,Yes,5
Yes,No,472,No,1
No,Yes,1324,Yes,1
Yes,No,992,No,1
No,Yes,834,Yes,7
Yes,No,993,No,1
No,Yes,1359,Yes,4
Yes,No,404,No,0
No,Yes,887,Yes,7
Yes,No,306,No,10
No,Yes,180,Yes,2
Yes,No,1496,No,5
No,Yes,62,Yes,3
Yes,No,1370,No,9
No,Yes,258,Yes,4
Yes,No,220,No,8
No,Yes,329,Yes,5
Yes,No,1138,No,2
No,Yes,14,Yes,4
Yes,No,616,No,5
No,Yes,943,Yes,10
Yes,No,703,No,8
No,Yes,1461,Yes,3
Yes,No,1353,No,6
No,Yes,1102,Yes,9
Yes,No,1284,No,4
No,Yes,547,Yes,3
Yes,No,289,No,0
No,Yes,1368,Yes,9
Yes,No,985,No,5
No,Yes,854,Yes,2
Yes,No,649,No,3
No,Yes,1256,Yes,1
Yes,No,911,No,9
No,Yes,63,Yes,6
Yes,No,720,No,1
No,Yes,1252,Yes,9
Yes,No,176,No,4
No,Yes,72,Yes,7
Yes,No,1102,No,0
No,Yes,1205,Yes,8
Yes,No,100,No,2
No,Yes,188,Yes,8
Yes,No,503,No,0
No,Yes,686,Yes,0
Yes,No,1049,No,5
No,Yes,1046,Yes,0
Yes,No,425,No,7
No,Yes,1381,Yes,9
Yes,No,303,No,10
No,Yes,318,Yes,4
Yes,No,421,No,7
No,Yes,918,Yes,5
Yes,No,1251,No,3
No,Yes,477,Yes,2
Yes,No,6,No,5
No,Yes,1242,Yes,8
Yes,No,67,No,9
No,Yes,450,Yes,6
Yes,No,1041,No,10
No,Yes,1305,Yes,7
Yes,No,758,No,8
No,Yes,1068,Yes,3
Yes,No,893,No,2
No,Yes,623,Yes,0
Yes,No,484,No,3
No,Yes,636,Yes,7
Yes,No,1265,No,2
No,Yes,350,Yes,5
Yes,No,1184,No,5
No,Yes,163,Yes,1
Yes,No,566,No,2
No,Yes,212,Yes,4
Yes,No,623,No,8
No,Yes,174,Yes,3
Yes,No,692,No,7
No,Yes,1170,Yes,9
Yes,No,1390,No,10
No,Yes,1035,Yes,3
Yes,No,1,No,5
No,Yes,755,Yes,1
Yes,No,874,No,6
No,Yes,1391,Yes,8
Yes,No,626,No,6
No,Yes,607,Yes,10
Yes,No,654,No,10
No,Yes,329,Yes,3
Yes,No,99,No,9
No,Yes,1221,Yes,6
Yes,No,642,No,10
No,Yes,1262,Yes,1
Yes,No,182,No,10
No,Yes,842,Yes,10
Yes,No,776,No,2
No,Yes,1120,Yes,4
Yes,No,102,No,9
No,Yes,228,Yes,8
Yes,No,1300,No,2
No,Yes,879,Yes,9
Yes,No,1314,No,7
No,Yes,1367,Yes,7
Yes,No,1166,No,9
No,Yes,1300,Yes,5
Yes,No,885,No,9
No,Yes,938,Yes,5
Yes,No,57,No,4
No,Yes,1073,Yes,2
Yes,No,1101,No,10
No,Yes,524,Yes,6
Yes,No,1037,No,1
No,Yes,448,Yes,9
Yes,No,1220,No,0
No,Yes,1490,Yes,4
Yes,No,1261,No,5
No,Yes,398,Yes,10
Yes,No,992,No,1
No,Yes,1000,Yes,2
Yes,No,455,No,1
No,Yes,1044,Yes,9
Yes,No,1497,No,10
No,Yes,422,Yes,9
Yes,No,1356,No,0
No,Yes,932,Yes,5
Yes,No,1390,No,4
No,Yes,1078,Yes,6
Yes,No,757,No,7
No,Yes,1483,Yes,9
Yes,No,792,No,10
No,Yes,618,Yes,6
Yes,No,1444,No,7
No,Yes,986,Yes,9
Yes,No,1080,No,5
No,Yes,700,Yes,1
Yes,No,1241,No,8
No,Yes,1165,Yes,9
Yes,No,828,No,10
No,Yes,1407,Yes,9
Yes,No,554,No,10
No,Yes,1099,Yes,3
Yes,No,383,No,2
No,Yes,299,Yes,6
Yes,No,1283,No,6
No,Yes,607,Yes,5
Yes,No,945,No,7
No,Yes,404,Yes,4
Yes,No,82,No,5
No,Yes,365,Yes,8
Yes,No,619,No,7
No,Yes,520,Yes,5
Yes,No,608,No,5
No,Yes,758,Yes,8
Yes,No,98,No,9
No,Yes,103,Yes,7
Yes,No,1375,No,2
No,Yes,44,Yes,2
Yes,No,950,No,8
No,Yes,525,Yes,10
Yes,No,1103,No,1
No,Yes,447,Yes,7
Yes,No,1096,No,3
No,Yes,1217,Yes,2
Yes,No,70,No,0
No,Yes,211,Yes,0
Yes,No,1375,No,5
No,Yes,1095,Yes,10
Yes,No,1475,No,6
No,Yes,101,Yes,0
Yes,No,1008,No,2
No,Yes,182,Yes,4
Yes,No,757,No,1
No,Yes,654,Yes,8
Yes,No,1277,No,10
No,Yes,281,Yes,10
Yes,No,424,No,1
No,Yes,1388,Yes,6
Yes,No,647,No,4
No,Yes,799,Yes,4
Yes,No,251,No,2
No,Yes,473,Yes,2
Yes,No,481,No,3
No,Yes,442,Yes,4
Yes,No,1390,No,5
No,Yes,1445,Yes,10
Yes,No,1105,No,6
No,Yes,1039,Yes,4
Yes,No,1170,No,10
No,Yes,899,Yes,1
Yes,No,91,No,2
No,Yes,972,Yes,1
Yes,No,401,No,9
No,Yes,1286,Yes,4
Yes,No,1395,No,10
No,Yes,1208,Yes,7
Yes,No,1394,No,10
No,Yes,182,Yes,9
Yes,No,1206,No,9
No,Yes,642,Yes,5
Yes,No,218,No,3
No,Yes,974,Yes,3
Yes,No,1167,No,2
No,Yes,122,Yes,4
Yes,No,1315,No,6
No,Yes,1020,Yes,4
Yes,No,875,No,1
No,Yes,670,Yes,4
Yes,No,885,No,4
No,Yes,949,Yes,2
Yes,No,184,No,7
No,Yes,220,Yes,2
Yes,No,1424,No,1
No,Yes,837,Yes,10
Yes,No,1242,No,3
No,Yes,688,Yes,9
Yes,No,291,No,6
No,Yes,16,Yes,9
Yes,No,255,No,3
No,Yes,402,Yes,6
Yes,No,414,No,7
No,Yes,401,Yes,3
Yes,No,1395,No,10
No,Yes,967,Yes,1
Yes,No,1169,No,5
No,Yes,1172,Yes,2
Yes,No,784,No,6
No,Yes,399,Yes,1
Yes,No,1499,No,1
No,Yes,341,Yes,4
Yes,No,602,No,8
No,Yes,38,Yes,0
Yes,No,760,No,8
No,Yes,428,Yes,4
Yes,No,297,No,7
No,Yes,337,Yes,4
Yes,No,858,No,4
No,Yes,579,Yes,9
Yes,No,209,No,7
No,Yes,77,Yes,4
Yes,No,859,No,8
No,Yes,1428,Yes,6
Yes,No,1418,No,1
No,Yes,1006,Yes,10
Yes,No,171,No,8
No,Yes,453,Yes,9
Yes,No,259,No,7
No,Yes,1159,Yes,2
Yes,No,831,No,0
No,Yes,517,Yes,10
Yes,No,779,No,7
No,Yes,1038,Yes,7
Yes,No,709,No,5
No,Yes,362,Yes,10
Yes,No,218,No,2
No,Yes,667,Yes,7
Yes,No,1067,No,4
No,Yes,1194,Yes,0
Yes,No,344,No,10
No,Yes,15,Yes,2
Yes,No,36,No,9
No,Yes,710,Yes,6
Yes,No,1343,No,8
No,Yes,1433,Yes,5
Yes,No,1212,No,2
No,Yes,337,Yes,0
Yes,No,1249,No,9
No,Yes,1243,Yes,0
Yes,No,1216,No,2
No,Yes,656,Yes,0
Yes,No,323,No,5
No,Yes,1380,Yes,2
Yes,No,1129,No,6
No,Yes,1121,Yes,1
Yes,No,355,No,10
No,Yes,1266,Yes,5
Yes,No,713,No,0
No,Yes,260,Yes,2
Yes,No,1365,No,6
No,Yes,706,Yes,7
Yes,No,630,No,8
No,Yes,874,Yes,3
Yes,No,929,No,5
No,Yes,4,Yes,3
Yes,No,1252,No,4
No,Yes,3,Yes,3
Yes,No,1314,No,1
No,Yes,969,Yes,6
Yes,No,1287,No,4
No,Yes,1132,Yes,7
Yes,No,1490,No,8
No,Yes,1152,Yes,1
Yes,No,58,No,4
No,Yes,952,Yes,7
Yes,No,716,No,0
No,Yes,273,Yes,9
Yes,No,409,No,2
No,Yes,873,Yes,0
Yes,No,1390,No,7
No,Yes,1133,Yes,3
Yes,No,881,No,2
No,Yes,930,Yes,0
Yes,No,1038,No,7
No,Yes,1113,Yes,4
Yes,No,108,No,1
No,Yes,787,Yes,10
Yes,No,525,No,1
No,Yes,976,Yes,7
Yes,No,937,No,3
No,Yes,1237,Yes,8
Yes,No,434,No,0
No,Yes,1244,Yes,7
Yes,No,370,No,2
No,Yes,994,Yes,3
Yes,No,991,No,5
No,Yes,103,Yes,3
Yes,No,157,No,4
No,Yes,763,Yes,10
Yes,No,575,No,7
No,Yes,536,Yes,4
Yes,No,1016,No,7
No,Yes,762,Yes,9
Yes,No,378,No,2
No,Yes,266,Yes,5
Yes,No,971,No,6
No,Yes,239,Yes,6
Yes,No,686,No,10
No,Yes,1463,Yes,7
Yes,No,1368,No,0
No,Yes,1029,Yes,8
Yes,No,743,No,6
No,Yes,1340,Yes,2
Yes,No,274,No,5
No,Yes,1157,Yes,5
Yes,No,1222,No,0
No,Yes,101,Yes,6
Yes,No,641,No,7
No,Yes,951,Yes,9
Yes,No,523,No,9
No,Yes,1458,Yes,7
Yes,No,181,No,2
No,Yes,135,Yes,5
Yes,No,1214,No,1
No,Yes,1353,Yes,9
Yes,No,484,No,2
No,Yes,1276,Yes,2
Yes,No,1232,No,10
No,Yes,792,Yes,0
Yes,No,1492,No,4
No,Yes,906,Yes,2
Yes,No,772,No,6
No,Yes,1144,Yes,5
Yes,No,602,No,9
No,Yes,1065,Yes,2
Yes,No,585,No,4
No,Yes,621,Yes,6
Yes,No,791,No,3
No,Yes,498,Yes,8
Yes,No,1217,No,1
No,Yes,779,Yes,0
Yes,No,1340,No,6
No,Yes,192,Yes,10
Yes,No,357,No,7
No,Yes,581,Yes,1
Yes,No,1053,No,5
No,Yes,1077,Yes,6
Yes,No,817,No,3
No,Yes,30,Yes,8
Yes,No,224,No,7
No,Yes,571,Yes,8
Yes,No,588,No,8
No,Yes,54,Yes,9
Yes,No,123,No,6
No,Yes,1435,Yes,10
Yes,No,303,No,0
No,Yes,305,Yes,10
Yes,No,1259,No,4
No,Yes,967,Yes,3
Yes,No,128,No,1
No,Yes,1424,Yes,8
Yes,No,593,No,10
No,Yes,1135,Yes,0
Yes,No,495,No,8
No,Yes,529,Yes,9
Yes,No,1431,No,6
No,Yes,1232,Yes,7
Yes,No,929,No,0
No,Yes,52,Yes,10
Yes,No,1468,No,7
No,Yes,340,Yes,1
Yes,No,626,No,4
No,Yes,1175,Yes,0
Yes,No,5,No,0
No,Yes,1266,Yes,9
Yes,No,12,No,7
No,Yes,1069,Yes,9
Yes,No,643,No,0
No,Yes,713,Yes,2
Yes,No,199,No,10
No,Yes,664,Yes,7
Yes,No,1150,No,5
No,Yes,149,Yes,4
Yes,No,454,No,4
No,Yes,1384,Yes,10
Yes,No,1282,No,0
No,Yes,56,Yes,0
Yes,No,1483,No,7
No,Yes,845,Yes,10
Yes,No,637,No,1
No,Yes,239,Yes,2
Yes,No,448,No,3
No,Yes,721,Yes,10
Yes,No,1427,No,4
No,Yes,1487,Yes,8
Yes,No,282,No,0
No,Yes,369,Yes,9
Yes,No,1004,No,8
No,Yes,1349,Yes,2
Yes,No,1125,No,8
No,Yes,1237,Yes,7
Yes,No,1,No,1
